epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0359,3.09269,4.2808,1.62929,0,0,0,0,2.58203,4.19003,1.58509,0,0,0
2,45.5262,3.24372,4.24135,1.7421,0,0,0,0,2.51929,3.9185,1.55875,1.9604e-05,1.9604e-05,1.9604e-05
3,70.221,2.9342,3.80938,1.53179,0.09222,0.46369,0.08461,0.0306,2.39049,3.21062,1.41797,3.8416e-05,3.8416e-05,3.8416e-05
4,93.5057,2.63382,2.79982,1.35249,0.60383,0.63863,0.65486,0.23931,2.17609,1.54104,1.12613,5.6436e-05,5.6436e-05,5.6436e-05
5,114.493,2.38543,1.8802,1.15756,0.80829,0.78212,0.83726,0.38076,1.83802,1.13953,1.05971,7.3664e-05,7.3664e-05,7.3664e-05
6,136.331,2.20787,1.61617,1.19944,0.89784,0.89944,0.91784,0.42334,1.81213,1.75858,1.06797,9.01e-05,9.01e-05,9.01e-05
7,160.518,1.97142,1.38148,1.15207,0.87688,0.88827,0.85645,0.32533,2.20509,1.64133,1.23039,0.000105744,0.000105744,0.000105744
8,183.35,2.06181,1.45487,1.16336,0.84993,0.87709,0.82414,0.2797,2.31609,1.08068,1.2683,0.000120596,0.000120596,0.000120596
9,206.258,2.23663,1.29485,1.24285,0.73129,0.77539,0.79124,0.31033,1.98881,1.30223,1.14342,0.000134656,0.000134656,0.000134656
10,236.957,2.44621,1.70697,1.44274,0.92677,0.90503,0.94137,0.43119,1.88633,1.01811,1.12154,0.000147924,0.000147924,0.000147924
11,260.817,1.92607,1.25963,1.19176,0.93773,0.92542,0.94072,0.40496,1.95865,1.04238,1.14412,0.0001604,0.0001604,0.0001604
12,288.263,1.98315,0.94521,1.20833,0.93377,0.94512,0.96002,0.4379,1.8675,1.45959,1.11868,0.000172084,0.000172084,0.000172084
13,310.868,1.94581,1.02245,1.12596,0.94394,0.95531,0.96535,0.46127,1.79459,1.35552,1.10898,0.000182976,0.000182976,0.000182976
14,333.143,1.91867,0.89858,1.15158,0.9157,0.97101,0.9541,0.45079,1.77408,1.18756,1.10622,0.000193076,0.000193076,0.000193076
